predicted_probs,target
0.90219975,0
0.24413368,0
0.06931762,0
0.16742133,0
6.4168096e-05,0
0.00045133106,0
0.01373128,0
0.0010666299,0
0.0010074285,0
0.004085923,0
0.0062885103,0
0.002702385,0
0.0012947565,0
0.014894284,0
0.00084943784,0
0.00362419,0
0.0011239573,0
0.005105853,0
0.000150653,0
0.18980631,0
0.0017993913,0
8.738892e-06,0
6.1223785e-05,0
0.2533674,0
0.0039890753,0
0.00021411282,0
0.0753214,0
0.003820206,0
0.5546218,0
0.0009805897,0
0.03701027,0
0.016145151,0
0.04490951,0
0.16517581,0
0.00015270717,0
0.004870583,0
0.014008643,0
0.0006812737,0
0.028827228,0
0.0038930322,0
0.00035511868,0
0.0031521765,0
0.000597535,0
0.007550724,0
0.76951265,0
0.006323939,0
0.24601589,0
0.04960315,0
0.00270587,0
0.041395005,0
0.01685944,0
0.00022583886,0
0.11690027,0
0.05458869,0
0.0039497074,0
0.15861234,0
4.767719e-05,0
0.0019034169,0
0.020899974,0
0.2896896,0
0.0018363863,0
0.96531314,0
0.0027262592,0
0.00029132783,0
0.0637374,0
0.00011306757,0
0.5846299,0
0.0009836227,0
0.004329935,0
0.09698012,0
0.0005788951,0
0.18554774,0
0.004387139,0
6.963165e-05,0
0.0008701237,0
0.0013323983,0
0.00031456447,0
0.0001609382,0
0.0015799468,0
0.0004677109,0
0.14279862,0
0.99577016,0
0.553124,0
0.2001822,0
0.0062501407,0
0.059774373,0
0.0095694,0
0.00011335365,0
0.021696083,0
0.0154901175,0
0.035909332,0
0.014894801,0
4.8510192e-05,0
1.6127397e-05,0
0.055440444,0
4.8405618e-05,0
0.010208481,0
0.00075924286,0
0.013465096,0
0.38967726,0
0.01641543,0
0.0044712555,0
0.012041157,0
0.00036327943,0
2.4723948e-05,0
0.0050294017,0
0.33854765,0
0.020582387,0
4.2998017e-06,0
0.0001451731,0
0.009033946,0
0.0002430495,0
0.776538,0
0.014063906,0
0.0015359591,0
0.0006820308,0
0.04693985,0
0.3024243,0
0.0005539358,0
0.035481144,0
0.00021120622,0
0.9951976,0
0.009747794,0
7.2973584e-05,0
0.00052853837,0
0.000108721564,0
0.015995169,0
0.0039732396,0
0.0006765059,0
0.6957735,0
0.00012319376,0
7.3470386e-05,0
0.00081328483,0
2.9706749e-05,0
0.694453,0
0.0006117734,0
0.14662418,0
0.835265,0
0.08494818,0
0.0009998978,0
0.00067740044,0
0.010672349,0
0.6859128,0
0.0022405908,0
0.7589306,0
0.025590552,0
0.0024237658,0
0.31925908,0
0.0006298402,0
0.00035185192,0
0.0072573237,0
0.009423836,0
0.00016162623,0
0.00034434826,0
0.0129947355,0
0.933799,0
0.0008339753,0
0.030480707,0
0.030177234,0
0.994888,0
0.033453774,0
0.014897671,0
0.94374686,0
0.14562371,0
0.0009584776,0
0.00023261916,0
0.0007546401,0
0.0083655,0
9.045403e-05,0
0.26123667,0
2.8003065e-05,0
0.06519319,0
0.00076280406,0
0.0005989428,0
0.0008205199,0
0.03446624,0
0.0007838731,0
0.0003573135,0
6.2132334e-05,0
0.000777864,0
0.9522491,0
0.0007284984,0
0.021665743,0
0.00022296543,0
0.014167924,0
0.026159955,0
0.0032668796,0
5.149532e-05,0
0.00073006103,0
0.0040507982,0
3.7282603e-06,0
1.1913676e-06,0
0.0028373853,0
0.28825268,0
0.004584743,0
0.9690129,0
0.0019700748,0
0.013596903,0
0.9916614,1
0.99445975,1
0.9965107,1
0.99928904,1
0.9950235,1
0.9949798,1
0.9974986,1
0.91934735,1
0.998298,1
0.89899427,1
0.99949074,1
0.99962914,1
0.9995117,1
0.99374074,1
0.99883014,1
0.99447244,1
0.9867198,1
0.99990284,1
0.99903786,1
0.04330881,1
0.99923396,1
0.9993144,1
0.9971789,1
0.99066997,1
0.99601966,1
0.9547101,1
0.99983346,1
0.99965274,1
0.86540633,1
0.9912781,1
0.999273,1
0.9998944,1
0.9990883,1
0.76490676,1
0.10237397,1
0.99976975,1
0.9968022,1
0.9926392,1
0.9995536,1
0.99620926,1
0.7212403,1
0.9888681,1
0.2875033,1
0.9656511,1
0.9861522,1
0.9994816,1
0.99536765,1
0.9868946,1
0.7929033,1
0.97143,1
0.9958228,1
0.93477196,1
0.9998858,1
0.99978644,1
0.99972004,1
0.9830003,1
0.9932314,1
0.9944037,1
0.99101794,1
0.44095412,1
0.97933674,1
0.5824961,1
0.9961831,1
0.99539906,1
0.9742246,1
0.9932688,1
0.9987307,1
0.99977595,1
0.99955744,1
0.9754734,1
0.9914,1
0.19312048,1
0.98910505,1
0.9988306,1
0.9131714,1
0.15449646,1
0.9939481,1
0.92871296,1
0.9861427,1
0.95255315,1
0.073496506,1
0.99953246,1
0.9988907,1
0.9998104,1
0.9988427,1
0.9986148,1
0.996447,1
0.999215,1
0.98482704,1
0.97085583,1
0.9985904,1
0.9304231,1
0.99685955,1
0.10209819,1
0.99636084,1
0.99339396,1
0.37544894,1
0.9997142,1
0.9991228,1
0.99668115,1
0.9995838,1
0.99002445,1
0.99949,1
0.9999105,1
0.99970067,1
0.65758663,1
0.9552303,1
0.98696,1
0.9969862,1
0.98586243,1
0.99929893,1
0.9665265,1
0.99010134,1
0.9996536,1
0.9999962,1
0.99908876,1
0.9989773,1
0.2707061,1
0.98837835,1
0.85883975,1
0.99726945,1
0.99757594,1
0.99489224,1
0.99959666,1
0.9999423,1
0.9792564,1
0.98692954,1
0.3732051,1
0.9994192,1
0.9809904,1
0.8415136,1
0.9826926,1
0.9999838,1
0.99992514,1
0.9996549,1
0.96595144,1
0.9999546,1
0.9998865,1
0.9998254,1
0.9865654,1
0.9996463,1
0.99995387,1
0.99915516,1
0.9345596,1
0.9108135,1
0.9999628,1
0.9984775,1
0.9577423,1
0.952898,1
0.9995154,1
0.9832239,1
0.9967362,1
0.9972083,1
0.55250627,1
0.9999231,1
0.9996556,1
0.99973017,1
0.9896662,1
0.9906465,1
0.905993,1
0.6666065,1
0.9902912,1
0.293398,1
0.99554574,1
0.9975768,1
0.99745935,1
0.9990019,1
0.99984705,1
0.049011715,1
0.9944501,1
0.99519795,1
0.9999521,1
0.9959275,1
0.997171,1
0.14317477,1
0.9997074,1
0.99939513,1
0.99818593,1
0.99431133,1
0.9999809,1
0.9189565,1
0.99999964,1
0.99871254,1
0.9955395,1
0.9960641,1
0.99942136,1
0.99357986,1
0.99965656,1
0.97589135,1
0.9956905,1
0.9986842,1
0.99931836,1
0.9965144,1
0.9964695,1
0.9979639,1
0.99972457,1
0.99916685,1
0.9952449,1
0.9963845,1
0.8783515,1
0.98909926,1
0.9985468,1
0.9980135,1
0.9980173,1
